번호,질문,답변
178,"최종과제 주제가 다른 수강생과 겹쳐도 괜찮은가요?",""
179,"AI Talent Lab 운영팀에 직접 방문 상담이 가능한가요? 사무실 위치가 어디인가요?",""
180,"산업기능요원이나 전문연구요원도 AI Bootcamp를 수강할 수 있나요?",""
181,"AI Bootcamp 수강 사실을 사내 인트라넷 프로필에 자동으로 표시할 수 있나요?",""
182,"최종과제에서 Azure OpenAI 말고 Azure AI Search나 Azure Functions도 사용할 수 있나요?",""
183,"AI Literacy 인증시험을 대리 응시하면 어떤 제재가 있나요?",""
184,"AI Bootcamp 수강 중 육아휴직에 들어가면 수강 상태가 어떻게 되나요?",""
185,"최종과제 결과물에 회사 로고나 CI를 사용해도 되나요?",""
186,"AI Talent Lab 교육 이수가 승진 심사 필수 요건인가요?",""
187,"같은 기수 수강생끼리 스터디 그룹을 만들고 싶은데 지원해주는 게 있나요?",""
188,"AI Bootcamp 강의를 녹화하거나 캡처해서 사내 위키에 올려도 되나요?",""
189,"최종과제에서 프롬프트 엔지니어링만으로 구현하고 코딩을 최소화해도 되나요?",""
190,"AI Talent Lab에 장애인 접근성(웹 접근성) 기능이 지원되나요?",""
191,"수강 도중 회사 구조조정으로 소속이 변경되면 수강이 자동 취소되나요?",""
192,"AI Bootcamp를 이미 수료했는데 다음 기수에 청강 형태로 다시 참여할 수 있나요?",""
193,"최종과제 소스코드에 대한 저작권은 누구에게 있나요? 회사인가요 본인인가요?",""
194,"AI Literacy 인증시험 결과를 이의제기하면 재채점이 가능한가요?",""
195,"AI Bootcamp 수강 시간을 근무 시간으로 인정받을 수 있나요?",""
196,"최종과제에서 ChatGPT처럼 스트리밍 응답을 구현해야 하나요?",""
197,"AI Talent Lab 관련 예산이 부서별로 배정되나요? 수강에 부서 예산이 사용되나요?",""
198,"AI Bootcamp 수료 후 Alumni 행사나 정기 모임이 있나요?",""
199,"최종과제에서 Agent가 외부 API(날씨, 뉴스 등)를 호출하는 기능을 넣어도 되나요?",""
200,"AI Talent Lab 교육 콘텐츠가 매년 갱신되나요? 작년 내용과 올해 내용이 다른가요?",""
